Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shanghai,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,39.7,111,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,36.6,104,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,37.5,106,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,38.5,108,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,38.3,108,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,39.1,110,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,38.8,109,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,41.0,115,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,44.0,122,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,44.7,124,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,46.2,127,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,44.7,124,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,46.2,127,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,44.9,124,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,43.0,119,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,43.0,119,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,31.9,93,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,28.9,86,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,27.4,83,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,28.7,86,Moderate,30.0,UG/M3,1 Hr,Valid
